probeid	statistic
SYNGR1	5.9139767771356
IGHA2	5.84363334777638
HSPA1B	5.67290411665825
SOCS3	5.65945024864943
SCN7A	5.56932505684599
COL4A5	5.51863161891417
PRRG2	5.39346066770049
HBEGF	5.16753906450106
RAPGEF5	4.92713879213913
DNAJB1P1	4.60594790849753
UTP6	4.5448758425367
VWF	4.4709132259443
MKRN2OS	4.43350238562657
TSHZ3-AS1	4.32247833248017
PGAM4	4.32113388877058
RAB1A	4.31443147988081
IGHA1	4.05340972566445
RPL7L1P9	3.92715405653674
SLC38A1	3.92148537812236
RPL10AP6	3.90685397838094
IGKV3-15	3.88494125639741
ENSG00000249679	3.8562860744935
OR2A1	3.83487674694827
CXCR4	3.78728569419265
COL4A1	3.74419043535937
DDX50P1	3.73339296793405
DYNC2H1	3.70171243893162
ADRA2A	3.69912338659652
ACTA2	3.65885815461566
IGLV3-21	3.6236107847224
RPL10P16	3.61501504814029
MAML2	3.61300867843759
FRYL	3.57891485334053
IGHV3-33	3.5718195564072
COL4A3	3.52445112732747
C9orf153	3.4938150838506
IGHV4-59	3.47369834865663
DPYSL2	3.4251500278214
IGLV7-43	3.39864230463153
PARP4	3.37844526881401
SENP7	3.35763653256247
DIPK2B	3.35416504768233
SLC5A2	3.33123479124081
IGLV3-25	3.30973571701831
ZNF860	3.30374669788107
ASAP2	3.21400613564393
ADAM12	3.19874120726533
IGKV3-11	3.17943965781717
MCAM	3.17143104300198
CRTAC1	3.15725850144828
COL1A2	3.15668923168693
KCNH4	3.13558520918473
JAG1	3.1338728966235
CATSPERB	3.12399174760267
DERL3	3.12078404849488
PGR	3.07844286419294
LINC02388	3.07477207593962
LINC01426	3.06400776378157
LOXL1-AS1	3.04466835656054
ANK3	3.03590022616763
COL4A4	3.0262767066626
LIN52	3.01563301602308
SMIM24	3.01207283296428
DNAH7	3.00251545746095
TPM1	2.98957185813051
FAT1	2.98293779305082
CSF2RB	2.98293295951436
GJC1	2.97266860433596
NUTM2D	2.9715751502698
EEF1DP7	2.97016072868655
ZNF677	2.95186314449504
VCAN	2.94179457549857
LBH	2.93237111978792
STK4	2.93229443305921
FAM204BP	2.93054866802219
CYTOR	2.92661313641274
PKHD1L1	2.9228457123944
C17orf67	2.92271032164562
RNU6-608P	2.91699603160906
SOX7	2.91366811148333
CALCRL	2.9106327491615
RAB25	2.90483306899956
ABCC1	2.89230019226562
RASAL2	2.88270828533505
PRKG1-AS1	2.87758954985516
MYADM	2.87126239333668
UBE3C	2.85761666004049
IGHV3-7	2.85071817121383
SNORD19	2.84468224735906
NFASC	2.81629897234919
UPRT	2.7929201354707
CCDC3	2.78408043010851
DNAJC18	2.76510379492386
SYTL2	2.75804664256912
PCCB	2.742589885507
RN7SKP239	2.73794134089673
PAICSP1	2.73157165522183
PDE3A	2.72794692124162
TM4SF1	2.7248771524151
CWF19L1	2.72462663879128
ITM2A	2.72353467695501
LYZ	2.6901700658837
SLC20A1	2.67498758016285
CCDC9B	2.67473111412188
RPS16P5	2.67305646649124
CYSLTR1	2.66002499007976
NRON	2.65919848402484
TRAJ41	2.6581330080171
TMCC3	2.63953117010331
C1orf100	2.63463679025618
MYO5A	2.63457058977605
CAVIN1	2.62929681101565
MMP2	2.62205003661923
ZNF184	2.61972443976439
PDP1	2.61919615060541
NBEA	2.60851314978011
IGHV1-2	2.60817748804312
PPA2	2.59687182016298
PYCR1	2.59398277940367
TM4SF18	2.5930753055576
LRRC8C-DT	2.58840321285253
BICC1	2.58470693222898
SLC12A2	2.5810692040715
UBE2N	2.57997685397026
FBXL7	2.57363739294524
ADCY3	2.57046051387816
PIK3IP1	2.5583310584553
RNF24	2.55697295304073
PCDH17	2.55475402892461
ZMYND15	2.55032231168698
ENDOD1	2.54802863656132
AHNAK	2.54443611134593
CRISPLD2	2.52130655554109
ITPRIP	2.51844948276782
RFT1	2.51389296174929
CTBP2	2.50772104297925
VILL	2.50267639514304
CD3D	2.49180978104158
WDR54	2.49168017316302
AKTIP	2.481036068291
CHST4	2.48083494676282
FLNA	2.46586066549264
RCBTB2	2.46384107310898
