probeid	statistic
ABCC1	2.89230019226562
ACTA2	3.65885815461566
ADAM12	3.19874120726533
ADCY3	2.57046051387816
ADGRF5	2.10698002534829
ADRA2A	3.69912338659652
AEBP1	2.32149118267798
AHNAK	2.54443611134593
AKTIP	2.481036068291
ANAPC1	1.99129559148867
ANK3	3.03590022616763
ARHGEF15	2.29580111926517
ASAP2	3.21400613564393
BHLHE41	2.37341973702517
BICC1	2.58470693222898
C17orf67	2.92271032164562
C1orf100	2.63463679025618
C7	2.33788247276423
C9orf153	3.4938150838506
CALCRL	2.9106327491615
CATSPERB	3.12399174760267
CAVIN1	2.62929681101565
CCDC3	2.78408043010851
CCDC9B	2.67473111412188
CD3D	2.49180978104158
CD59	2.19540184599268
CD83	2.26120152367961
CD93	2.36707650197037
CHST4	2.48083494676282
CNIH3	2.42237912696294
COL1A2	3.15668923168693
COL4A1	3.74419043535937
COL4A3	3.52445112732747
COL4A4	3.0262767066626
COL4A5	5.51863161891417
COL6A3	2.19129451866658
CRISPLD2	2.52130655554109
CRTAC1	3.15725850144828
CSF2RB	2.98293295951436
CSGALNACT1	2.31313084544205
CTBP2	2.50772104297925
CTSW	2.2910819920947
CWF19L1	2.72462663879128
CXCR4	3.78728569419265
CYSLTR1	2.66002499007976
CYTOR	2.92661313641274
DDX50P1	3.73339296793405
DERL3	3.12078404849488
DIPK2B	3.35416504768233
DNAH7	3.00251545746095
DNAJB1P1	4.60594790849753
DNAJC18	2.76510379492386
DPYSL2	3.4251500278214
DYNC2H1	3.70171243893162
EEF1DP7	2.97016072868655
ENDOD1	2.54802863656132
ENSG00000249679	3.8562860744935
FAM204BP	2.93054866802219
FAT1	2.98293779305082
FBXL7	2.57363739294524
FLNA	2.46586066549264
FRYL	3.57891485334053
FUT11	2.0094827029228
GJC1	2.97266860433596
GOLGA7B	2.16736072596642
GSN	2.45328636003106
HBEGF	5.16753906450106
HSPA1B	5.67290411665825
HTR7	2.40472652503467
IGHA1	4.05340972566445
IGHA2	5.84363334777638
IGHV1-2	2.60817748804312
IGHV3-33	3.5718195564072
IGHV3-7	2.85071817121383
IGHV4-59	3.47369834865663
IGKV3-11	3.17943965781717
IGKV3-15	3.88494125639741
IGLV3-21	3.6236107847224
IGLV3-25	3.30973571701831
IGLV7-43	3.39864230463153
INTS3	2.25945126382345
IP6K3	2.29837999985348
IQCC	2.07672990912935
ITGB1	2.43974931027908
ITM2A	2.72353467695501
ITPRIP	2.51844948276782
JAG1	3.1338728966235
KCNH4	3.13558520918473
KIAA1755	2.12602279409051
LBH	2.93237111978792
LDOC1	2.44430245791817
LIN52	3.01563301602308
LINC01426	3.06400776378157
LINC02388	3.07477207593962
LINC02860	2.29743721853887
LMBRD1	2.36197183784546
LOXL1-AS1	3.04466835656054
LRRC32	2.2449149589913
LRRC8C-DT	2.58840321285253
LYZ	2.6901700658837
MAML2	3.61300867843759
MCAM	3.17143104300198
MKRN2OS	4.43350238562657
MMP2	2.62205003661923
MYADM	2.87126239333668
MYCBP2-AS1	2.38387149789809
MYO10	2.21850250635016
MYO5A	2.63457058977605
NBEA	2.60851314978011
NFASC	2.81629897234919
NRON	2.65919848402484
NUTM2D	2.9715751502698
OR2A1	3.83487674694827
PAICSP1	2.73157165522183
PARP4	3.37844526881401
PATJ	2.4299352749655
PCCB	2.742589885507
PCDH17	2.55475402892461
PCDH9	2.31307382046463
PDE3A	2.72794692124162
PDP1	2.61919615060541
PEAK1	2.45960029612014
PECAM1	2.21701675413282
PGAM4	4.32113388877058
PGR	3.07844286419294
PGS1	1.96076517898873
PIK3IP1	2.5583310584553
PKHD1	2.32992411150404
PKHD1L1	2.9228457123944
PPA2	2.59687182016298
PPFIBP1	2.30857651556868
PRKG1-AS1	2.87758954985516
PRRG2	5.39346066770049
PTGIS	2.29883919796079
PYCR1	2.59398277940367
RAB1A	4.31443147988081
RAB25	2.90483306899956
RAPGEF5	4.92713879213913
RASAL2	2.88270828533505
RBM45	2.19356500103967
RCBTB2	2.46384107310898
RFT1	2.51389296174929
RN7SKP239	2.73794134089673
RNF24	2.55697295304073
RNU6-608P	2.91699603160906
RPL10AP6	3.90685397838094
RPL10P16	3.61501504814029
RPL7L1P9	3.92715405653674
RPS16P5	2.67305646649124
RUNDC1	2.22851921528575
SCN7A	5.56932505684599
SEL1L3	2.41308925870343
SENP7	3.35763653256247
SF3B1	2.05848360972784
SLC12A2	2.5810692040715
SLC20A1	2.67498758016285
SLC38A1	3.92148537812236
SLC5A2	3.33123479124081
SLFN11	2.2312551524349
SMIM24	3.01207283296428
SMOC2	2.24825686166964
SNORD19	2.84468224735906
SOCS3	5.65945024864943
SOX7	2.91366811148333
SPTBN5	2.07289736818198
STK4	2.93229443305921
SVEP1	2.25247214038426
SYNGR1	5.9139767771356
SYTL2	2.75804664256912
THAP9	2.38061806958423
TM4SF1	2.7248771524151
TM4SF18	2.5930753055576
TMCC3	2.63953117010331
TP53BP1	2.18170535622612
TPM1	2.98957185813051
TRAJ41	2.6581330080171
TRIP12	2.09224474920245
TSHZ3-AS1	4.32247833248017
UBE2N	2.57997685397026
UBE3C	2.85761666004049
UPRT	2.7929201354707
UTP6	4.5448758425367
VCAN	2.94179457549857
VILL	2.50267639514304
VNN2	2.34937397775728
VWF	4.4709132259443
WDR54	2.49168017316302
XYLT1	2.1988919472332
ZMYND15	2.55032231168698
ZNF184	2.61972443976439
ZNF613	2.46285973424574
ZNF677	2.95186314449504
ZNF808	1.97807025309414
ZNF860	3.30374669788107
ABCC6P2	-2.01338558545318
ABCG8	-2.15900407413077
ABHD12B	-2.31313240160526
ABHD14A	-2.73777132256043
ACSF2	-2.09694222947049
ACY3	-1.98995220257459
ADGRE1	-1.96475383594828
ADGRG7	-1.95667601297049
ADHFE1	-2.18678394157381
ADORA2A	-2.45287190653801
ADORA3	-2.07601639191721
AGAP9	-2.17452853354449
AKR1C6P	-2.45495774941625
AKR7A2	-2.17332198579623
AKR7A2P1	-1.90877402824844
AKR7L	-2.31979241544284
ALAS2	-2.10637531415155
ALDH1L1	-2.68198759452704
ALG1	-2.27850038936043
ANXA10	-2.58126119232549
AP2S1	-2.28491727821577
APOC4-APOC2	-2.07188844754076
AR	-2.43761123397771
ARHGAP42	-2.03092650574104
ARHGEF4	-2.06541745741282
ARMH1	-2.05165413592563
ASCL2	-2.06217301313533
ATE1-AS1	-2.38933801923153
ATP2B2	-2.04730333958427
BAG1	-2.09097512859224
BCKDHA	-2.73671993972115
BCL6	-2.27462316056402
BHLHB9	-1.93555924696803
BTD	-2.26870077292038
BTF3L4P1	-1.8887437298532
CALR4P	-2.11165752972088
CAVIN4	-2.06487933256916
CBR1	-2.38334722203371
CBX5P1	-2.07723620246786
CCDC137	-1.90361042718092
CCDC159	-2.34967607570768
CCDC167	-2.02208694787308
CCL23	-2.3250388281761
CCNT2-AS1	-2.97285239684053
CEACAM1	-1.99904255238897
CELF3	-2.57694465110314
CEND1	-2.56633746516461
CEP164P1	-2.0765414289475
CEP43	-2.10095901015153
CFAP57	-2.67107053533114
CFAP70	-2.00737382616642
CHAD	-2.1113082502714
CHDH	-2.63035018201873
CHKB	-2.0895278776883
CNKSR3	-2.62552466524338
CNTLN	-2.26521849727068
COPG2IT1	-2.06686063729915
COX6A1P2	-2.26243760562669
CPS1-IT1	-2.00017847301877
CSAD	-2.17578443283024
CSDC2	-2.07499061522452
CUX2	-1.9689749070885
CYP2C58P	-2.05987234484714
CYSRT1	-2.05795361978701
DCST1	-2.06941557203136
DCST2	-2.22317984114798
DDA1	-2.47735462661973
DDO	-2.37284891451489
DNMT3L	-1.99078585655954
DOK7	-2.33678647623969
DOP1B	-2.08900484992466
DVL1	-2.09587256140666
ECH1	-2.09393348040654
EEF1A1P22	-2.16648988407319
EIF4A2P2	-2.33168048179484
EIF4EBP3	-2.46490263034431
ELOVL2-AS1	-2.09067217255935
EMC8	-2.09765301913839
ENKD1	-2.49632647747838
ENPEP	-2.37403916461219
ENSG00000224292	-2.34080398277559
ENSG00000231050	-2.65535531048917
ENSG00000234694	-2.05312654050948
ENSG00000234715	-1.98292750147254
ENSG00000234997	-2.55147375855527
ENSG00000240661	-3.35263593691166
ENSG00000255284	-2.28760851445681
ENSG00000256802	-2.04903166517768
ENSG00000283828	-2.21833311009681
ENSG00000286839	-2.20417705221635
ENSG00000287346	-2.06937676452305
ENSG00000288675	-1.993392567839
EVA1A-AS	-1.93112949116556
FAM157C	-1.90171524420055
FBXO31	-2.04392887991275
FCRLB	-2.21187892960026
FDPS	-2.26274189580239
FIGNL2	-1.90188164381907
FKBPL	-2.31062789540755
FOXA1	-2.01145449880622
FOXP3	-1.87948304442367
GAPDHP2	-2.13499670465718
GAPDHP76	-1.90733559713316
GATB	-2.0960590532719
GEMIN2	-2.1512220695839
GJB1	-2.12546329573503
GLI4	-2.02444602506288
GNG5	-1.96042465665628
GNRH2	-2.16641795157679
GPR150	-2.02684564177969
GPT2	-2.22397211603955
GRINA	-1.94112026684621
GRTP1	-2.26376878633648
